id,song_name,danceability,energy,liveness,kmeans
0vSWgAlfpye0WCGeNmuNhy,Symbiote,0.85,0.893,0.372,1
0VSXnJqQkwuH2ei1nOQ1nu,ProductOfDrugs (Prod. The Virus and Antidote),0.476,0.7809999999999999,0.114,1
2ggqfj97qyiORmXoVFzP5j,Andromeda,0.893,0.907,0.5579999999999999,1
0QiF3l617bIKVrkBqgdMHE,Troll Under the Bridge,0.736,0.932,0.182,1
4SKqOHKYU5pgHr5UiVKiQN,Backpack,0.765,0.726,0.619,1
0jsbEBnXWgHLkvjV49vYVG,Nails,0.7829999999999999,0.929,0.6890000000000001,1
4ZOxwKHoHlhIZPzucOUVoY,BLUE JUICE,0.799,0.966,0.6579999999999999,1
4Uk53I7Lz6bzctGoyNxf8W,Killer,0.65,0.952,0.337,1
7FoW7q7uZGOHlGi9w5mUxN,608,0.386,0.936,0.381,1
5QArbhcHhpW48U4cK3Joj9,Nightmare Choir (I Been Asleep Too Long),0.777,0.902,0.275,1
2Bkfvi3pCcwoJwnmd45OnA,Exodus,0.607,0.7490000000000001,0.2339999999999999,1
1K86gziny1mnNIisKBqzhH,who is he,0.473,0.843,0.102,1
5mPUo1HP5K4H6hepYHqbZx,Pound for Pound,0.812,0.7070000000000001,0.5870000000000001,1
2x7mBK5ozd9hwneRKMVpkD,Finger Trembling,0.262,0.897,0.11,1
3kBa1eXqkSvfCLmG8VqQ10,Overload,0.5710000000000001,0.865,0.0906,1
3SCVHoGHV7GL0hmqcOIpqh,Memoirs Of A Gorilla,0.8540000000000001,0.98,0.5479999999999999,1
4XQDrALwqj4J1YPqg58sDV,Champion Of Death,0.8170000000000001,0.911,0.42,1
7m1oRKYiZCfuKXRMWGefWR,Bury Me,0.735,0.933,0.1,1
1AADsJz09BwnKW4yYFQwXU,Hack Slash,0.698,0.987,0.3429999999999999,1
1k31A67B0r2PDytoPR283x,"Beware, the Sirens",0.721,0.899,0.126,1
4Ao4XHlqBTKsCil8R6e8fD,Hexada,0.579,0.813,0.365,1
5dBP9gDiDlsXiitxvB4HGb,Scrying Through Shattered Glass,0.494,0.695,0.223,1
7lnCmYYscC0mijoPe3Blx8,Blackmage,0.37,0.856,0.18,1
3jnTBMdckWNzC7PJV96kQ1,Filth,0.476,0.825,0.115,1
164uPGiUKnYHwJOHcgfy1e,Homecoming,0.4029999999999999,0.696,0.0722,1
12WAcEcT03Hkvdwb343fcU,RestInPeace (Prod. by The Virus And Antidote),0.529,0.8170000000000001,0.178,1
6IBsaKAy1kDhsqDK9niOht,Electric,0.596,0.8809999999999999,0.0798,1
0zltCbKuXQlZi0DHEli83W,Cranium,0.7120000000000001,0.982,0.147,1
4a9j7bIg4BT9J87pQT7b8j,Friday,0.6970000000000001,0.873,0.22,1
3YmPKPB5B6bfCZYgF0wmiq,Gremlin,0.63,0.8759999999999999,0.223,1
1ojp0kfnXyRvr5cemuU0qD,You Are Not Like Us,0.735,0.8109999999999999,0.528,1
5WY9OTNkgX1Sd1WluZL77F,Give Ah Fuck,0.48,0.984,0.472,1
6xPjbdiUqIqM3uD1B0JA1o,Death Wish,0.726,0.823,0.7070000000000001,1
5X5Kd4ULRLE5Rd7p8tmahp,Allergies,0.755,0.765,0.565,1
21cGO6AxAJJDTV7Po9ywZa,Memoirs of a Gorilla,0.8490000000000001,0.98,0.551,1
5Uj6Zy5QoGdEZob7xRUakV,Crazy,0.475,0.7879999999999999,0.128,1
1uDtlAvSiXgktRJjA8LpWC,Sarcophagus III (feat. $Uicideboy$),0.7559999999999999,0.74,0.6459999999999999,1
4mx0eNjjZUyOzfY3I4P9HD,Bulletproof,0.58,0.867,0.14,1
4DgImhJ5lY30bQdY6zVsb4,Bloodshed,0.665,0.8270000000000001,0.351,1
1rr9KQgLpdA8gN307EufaA,ACT 2 - BirthOfTheSpaceGod,0.618,0.743,0.452,1
0NeiQDX41fUCbSVkek4qBQ,Grey Tee,0.622,0.8590000000000001,0.0797,1
7Cq27Qc3WRyQ3ddwVslpVZ,Heart Attack,0.585,0.895,0.32,1
3STThGLjuFSaoseZvWupmx,Chain$Aw,0.7170000000000001,0.925,0.287,1
44AH8XwgrebHvQAZJbSrsV,P.T.S.D,0.473,0.772,0.3989999999999999,1
4uVrs1SNb31FknIkIOTF9t,Intro.Desolation,0.136,0.821,0.325,1
11NHApIN2R0DZJDypPYeFJ,The Singularity,0.476,0.495,0.506,1
2jUav7K1nwfKyVosT94ACA,D(R)Ead,0.499,0.893,0.0907,1
0l2wHmelVoDebG5b3guSp6,"I've Seen Satan, He Has Dreadlocks",0.241,0.928,0.612,1
16We63cC503m1TMVeZlrvL,sleep at night,0.447,0.652,0.184,1
4OcxBd349UIgErVz81V2TY,AI,0.321,0.949,0.579,1
4BkM0A2FwgLB8Av8fKLMzg,Lazaretto,0.542,0.923,0.397,1
7wBJfHzpfI3032CSD7CE2m,STARGAZING,0.487,0.789,0.1889999999999999,1
0M52bTppxI3QQxan8ftIsY,Rari (feat. Future),0.574,0.812,0.15,1
3Z52thjMFyjbF5L35dcBwG,MiAMi (feat. Gunna),0.674,0.862,0.113,1
6pUBrvKfJL4qmn95mxU7rC,Respect the Game,0.603,0.67,0.326,1
7hZoTr4ffMGqm9opMiGmBp,ONCE UPON A TIME (FREESTYLE),0.653,0.91,0.111,1
7e5WppzulpdTKAQu7uUNch,Dem Callin' (feat. Ramriddlz),0.578,0.721,0.3289999999999999,1
2wFwbyCz96QFLm2L6esbgf,BUSHY B INTERLUDE,0.64,0.615,0.479,1
4B8vU5oDXVxO5OkLAI4aLx,out for the night - part 2,0.593,0.632,0.64,1
1HnofMRgApSAr05aq75tRm,Red Beam,0.311,0.637,0.11,1
7BJ33p5i27eytzaxmDZOc7,Red Bottoms,0.524,0.84,0.154,1
2LymrmdPzZttyG6fNQCuym,TaleOfAGhost (Prod. The Virus and Antidote),0.401,0.736,0.198,1
5XSgFF5YZc4WfTS9zGdAZK,dread,0.685,0.82,0.6509999999999999,1
2mExAsrNxfZL92C4yft1LY,Dirty Teenz,0.3929999999999999,0.86,0.331,1
29oQlTERHAlTPHEYw5xvZy,Aahhyeahh,0.631,0.67,0.358,1
7EpACeh5ooHUb0AnQ3f3Xl,Uppercuts,0.544,0.812,0.481,1
2IvOMqtxXCvb05mmVRqsf2,Mrs.,0.777,0.871,0.521,1
3oHkMCVJyOcjg5FhfLc2Rq,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",0.428,0.754,0.136,1
0S0vWvyZ6Rc79TXkWxT9QA,Save That Shit,0.534,0.583,0.421,1
3DxJG91MgmLC4UADvQZwUo,White Lies+++,0.54,0.899,0.127,1
7dJs0CR3HKq3vTqAbngXTt,wash away,0.476,0.865,0.109,1
67e7sjTnaFwo3C4HKZveNd,Numb,0.552,0.6729999999999999,0.268,1
0G7wgA7yfXZnOtRTuGFX9v,We Don't Speak Anymore,0.615,0.836,0.198,1
3hR4xgZVxxWGX1E2p4iSTo,Soul Collector,0.767,0.897,0.257,1
1CvKkkWoqih9hDPkyI9dLd,Holy Ghost,0.6759999999999999,0.971,0.2,1
5dIfqbpVpaZCWRYd4LuMuw,Neverless,0.621,0.972,0.331,1
2yHowQ2y8xnSZk3R8vrLaW,Its Not Love,0.31,0.8290000000000001,0.174,1
5btgXxWGEJThygasIrFwNg,Legends Never Die,0.57,0.8270000000000001,0.215,1
2otr8unXaKEhFUquQ4Lv8I,01000100 01010000 01010011 00101011,0.54,0.7909999999999999,0.0859,1
33mcPMqHjhGGoS7ryynmay,Infiltrate,0.8290000000000001,0.823,0.487,1
0O3TAouZE4vL9dM5SyxgvH,Fashion Killa,0.8009999999999999,0.8190000000000001,0.515,1
0AJL9bG5n2SdyRPxh8fNjt,Do You Want to Taste the Blade,0.371,0.883,0.3829999999999999,1
7D70tiORAMJrUXVGf4OyPI,Ignorance II,0.34,0.812,0.111,1
7Mvse8gvgglfvYha56MzK5,HATE ME,0.574,0.747,0.934,1
5b1drDLLHPiiFMoIRNAamG,Stayawayfromme,0.53,0.946,0.38,1
5XVL2UkxzFl5KDUkQRUFro,My Mistake,0.589,0.8320000000000001,0.103,1
76GKbKyaTonMpyIa9mCXmX,"bad mood, bad year",0.416,0.847,0.106,1
1eElPFf9odWZwk2i0Ko8xB,CRUSHIN (feat. Travis Barker),0.498,0.885,0.245,1
5ZIHOepZSyDkNDqs0zALGk,K.,0.649,0.858,0.0834,1
12rznBmp8xHknCAggl07Pn,Into the Trees,0.4679999999999999,0.7959999999999999,0.1369999999999999,1
75v1p677tO9W1Y95H0CJol,NIGHTRIDER,0.516,0.6759999999999999,0.3879999999999999,1
4art4yZ0GO9ifGTeyDA0zq,In My Feelings,0.56,0.833,0.104,1
6RomB1xO718qT2XZoJOiRU,LEAVE,0.422,0.755,0.0711,1
2trcczlcFTc3t497dDl86l,Can We Wait Here,0.599,0.7809999999999999,0.294,1
6BSY2h1WsiChRBUMVSFEHr,Stupid,0.527,0.742,0.211,1
6pwkQLsPw47RxlQX1lSYCI,Wingriddenangel,0.266,0.508,0.485,1
3SizrrFvfc0nrJZtcPGoXD,Skin,0.2189999999999999,0.573,0.0341,1
2bpesJelSQaqXn0VE4HZpl,Gnarly Bastard,0.305,0.757,0.5760000000000001,1
3RZ3AyJp5G3QT8AAnN5RRg,Sippinteainyohood,0.655,0.87,0.337,1
4LrJwoFKoF3QLNaLo57PiH,Teeth (Interlude),0.531,0.7020000000000001,0.218,1
2ThuO96rr4IaevzIdLyi3Z,FUCKKKK! (FUCKISUP),0.434,0.945,0.397,1
5UBUKpDJOONRDFB9b8JobU,Your Bullet's Won't Do Shit,0.7190000000000001,0.878,0.3939999999999999,1
4J3FltfCktHfD9iPCneDGy,Kiss,0.346,0.769,0.0815,1
32sGRkbE4NdRddOrzo7I8S,Every Day,0.462,0.7809999999999999,0.1009999999999999,1
56cX62sUO1IaoAimePyKHo,Siren Sounds,0.601,0.878,0.143,1
6qdkZt2XcHu0qaO3KqbEh6,Renegade IV,0.588,0.952,0.306,1
2NEfYYsZrpbFZ1JpNs6Jsi,Lizard Teeth 2,0.748,0.85,0.362,1
53rNGlVqVincIF9bYhO9S3,Shiver,0.605,0.865,0.0504,1
