id,song_name,danceability,energy,liveness,kmeans
2Vc6NJ9PW9gD9q343XFRKx,Mercury: Retrograde,0.831,0.8140000000000001,0.0556,0
7pgJBLVz5VmnL7uGHmRj6p,Pathology,0.7190000000000001,0.493,0.118,0
0vSWgAlfpye0WCGeNmuNhy,Symbiote,0.85,0.893,0.372,1
0VSXnJqQkwuH2ei1nOQ1nu,ProductOfDrugs (Prod. The Virus and Antidote),0.476,0.7809999999999999,0.114,1
4jCeguq9rMTlbMmPHuO7S3,Venom,0.7979999999999999,0.624,0.166,0
6fsypiJHyWmeINsOLC1cos,Gatteka,0.721,0.568,0.128,0
0XfQbq7DaMOmVXgQ71eA6E,kamikaze (+ pulse),0.718,0.6679999999999999,0.124,0
0LLeuNBWPOg3XA73yab3PT,T.R.U. (Totally Rotten Underground),0.6940000000000001,0.711,0.1119999999999999,0
37gqBnUAZe8BY8WR56kDNk,I Put My Dick in Your Mental,0.774,0.7509999999999999,0.0728,0
2ggqfj97qyiORmXoVFzP5j,Andromeda,0.893,0.907,0.5579999999999999,1
7EL7ifncK2PWFYThJjzR25,BRAINFOOD,0.8640000000000001,0.365,0.1159999999999999,0
0QiF3l617bIKVrkBqgdMHE,Troll Under the Bridge,0.736,0.932,0.182,1
5o7ZDvfOry1MNhNLBOJulo,1000 Rounds,0.825,0.7609999999999999,0.3339999999999999,0
1umsRbM7L4ju7rn9aU8Ju6,Sacrifice,0.767,0.5760000000000001,0.0968,0
4SKqOHKYU5pgHr5UiVKiQN,Backpack,0.765,0.726,0.619,1
4Ag89Y7qSUrpxcgRtSzSam,D(R)Own,0.617,0.541,0.369,0
28xkYPSP0P5xu5vT6MQfCy,"Okay,ButThisIsTheLastTime",0.755,0.298,0.1009999999999999,0
3uE1swbcRp5BrO64UNy6Ex,TakingOutTheTrash,0.8140000000000001,0.575,0.109,0
3KJrwOuqiEwHq6QTreZT61,Io sono qui,0.812,0.813,0.0758,0
4irYeuAi87yyGHcI4h9s0x,Paris,0.8490000000000001,0.648,0.0984,0
4QhUXx4ON40TIBrZIlnIke,Murder,0.602,0.578,0.1639999999999999,0
09320vyX4qHd4GjHIpy5w0,High 'N Mighty,0.8759999999999999,0.768,0.283,0
2SZLtfY7dz7NLSxxnvDDis,Euronymous,0.777,0.711,0.205,0
0KRKqIJPX6LT9v1ZQGbfn7,Hades,0.8290000000000001,0.59,0.114,0
0jsbEBnXWgHLkvjV49vYVG,Nails,0.7829999999999999,0.929,0.6890000000000001,1
0wxwXyrJYHyGUKlBaCIhgp,Squeeze,0.787,0.727,0.376,0
0vUhboOWxdj97denl4T91p,No Teeth,0.705,0.648,0.373,0
